"Table 1. Per Capita Personal Income by County, 2017 - 2019",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in State,Percent change,,Rank in State
,2017,2018,2019,2019,2018,2019,2019
United States,"52,118","54,606","56,490",--,4.8,3.5,--
,,,,,,,
Alabama,"41,030","42,710","44,145",--,4.1,3.4,--
Autauga,"41,101","42,504","43,917",10,3.4,3.3,37
Baldwin,"44,566","46,205","47,485",4,3.7,2.8,48
Barbour,"33,318","35,067","35,763",47,5.2,2.0,60
Bibb,"29,386","30,559","31,725",66,4.0,3.8,20
Blount,"34,317","35,671","36,412",41,3.9,2.1,57
Bullock,"26,906","27,891","29,080",67,3.7,4.3,11
Butler,"35,803","36,783","37,523",34,2.7,2.0,58
Calhoun,"35,927","36,988","38,394",26,3.0,3.8,21
Chambers,"32,940","34,395","35,900",44,4.4,4.4,9
Cherokee,"34,625","36,037","36,432",40,4.1,1.1,64
Chilton,"33,863","35,053","36,188",42,3.5,3.2,41
Choctaw,"37,444","38,896","40,145",20,3.9,3.2,42
Clarke,"35,419","36,336","37,965",31,2.6,4.5,6
Clay,"32,492","33,613","34,322",56,3.5,2.1,56
Cleburne,"35,457","36,243","35,791",45,2.2,-1.2,67
Coffee,"41,205","42,863","43,979",9,4.0,2.6,49
Colbert,"37,371","38,319","39,679",23,2.5,3.5,30
Conecuh,"31,957","33,563","34,892",54,5.0,4.0,17
Coosa,"30,294","31,343","32,523",65,3.5,3.8,25
Covington,"35,098","36,171","36,756",38,3.1,1.6,63
Crenshaw,"35,868","36,875","37,118",36,2.8,0.7,66
Cullman,"38,513","40,016","40,818",16,3.9,2.0,59
Dale,"35,809","37,063","37,853",32,3.5,2.1,55
Dallas,"34,734","36,175","38,362",27,4.1,6.0,1
DeKalb,"31,520","32,642","33,242",63,3.6,1.8,61
Elmore,"41,376","42,705","44,316",8,3.2,3.8,24
Escambia,"32,114","32,997","34,432",55,2.7,4.3,10
Etowah,"36,064","37,245","38,326",28,3.3,2.9,46
Fayette,"33,769","35,041","36,465",39,3.8,4.1,15
Franklin,"33,038","34,714","35,292",48,5.1,1.7,62
Geneva,"34,331","35,525","36,848",37,3.5,3.7,26
Greene,"31,790","31,760","33,386",62,-0.1,5.1,3
Hale,"35,842","36,586","38,207",30,2.1,4.4,8
Henry,"40,915","42,439","43,502",11,3.7,2.5,50
Houston,"41,340","43,216","44,647",7,4.5,3.3,38
Jackson,"35,967","37,162","38,315",29,3.3,3.1,44
Jefferson,"52,923","55,570","57,329",1,5.0,3.2,43
Lamar,"32,665","33,804","35,148",50,3.5,4.0,16
Lauderdale,"36,093","37,487","38,758",24,3.9,3.4,34
Lawrence,"32,819","34,084","35,039",51,3.9,2.8,47
Lee,"36,845","38,378","39,781",22,4.2,3.7,27
Limestone,"41,192","43,286","44,946",6,5.1,3.8,19
Lowndes,"39,023","39,796","40,785",17,2.0,2.5,51
Macon,"31,821","33,336","34,901",53,4.8,4.7,5
Madison,"49,711","52,011","54,010",3,4.6,3.8,18
Marengo,"37,667","40,209","41,567",15,6.7,3.4,35
Marion,"32,089","33,189","34,000",57,3.4,2.4,53
Marshall,"35,003","36,243","37,345",35,3.5,3.0,45
Mobile,"37,390","38,791","40,112",21,3.7,3.4,32
Monroe,"32,780","33,595","35,174",49,2.5,4.7,4
Montgomery,"42,732","43,969","45,479",5,2.9,3.4,31
Morgan,"38,631","40,223","41,741",14,4.1,3.8,23
Perry,"31,671","31,821","33,529",61,0.5,5.4,2
Pickens,"32,144","33,087","33,890",59,2.9,2.4,54
Pike,"36,445","37,543","38,473",25,3.0,2.5,52
Randolph,"32,481","33,441","33,804",60,3.0,1.1,65
Russell,"32,572","32,655","33,986",58,0.3,4.1,14
St. Clair,"37,413","39,329","40,766",18,5.1,3.7,28
Shelby,"52,454","54,963","56,830",2,4.8,3.4,33
Sumter,"31,228","31,679","33,009",64,1.4,4.2,12
Talladega,"33,624","34,709","36,125",43,3.2,4.1,13
Tallapoosa,"39,440","40,957","42,509",12,3.8,3.8,22
Tuscaloosa,"37,824","39,334","40,648",19,4.0,3.3,36
Walker,"39,318","41,144","42,477",13,4.6,3.2,40
Washington,"35,542","36,641","37,837",33,3.1,3.3,39
Wilcox,"32,188","33,406","34,903",52,3.8,4.5,7
Winston,"33,585","34,515","35,776",46,2.8,3.7,29
,,,,,,,
Alaska,"57,394","60,355","62,806",--,5.2,4.1,--
Aleutians East Borough,"58,601","57,050","62,537",16,-2.6,9.6,2
Aleutians West Census Area,"53,225","56,288","58,008",20,5.8,3.1,23
Anchorage Municipality,"63,802","67,282","70,145",10,5.5,4.3,12
Bethel Census Area,"42,572","45,242","46,348",28,6.3,2.4,25
Bristol Bay Borough,"126,290","142,617","151,900",1,12.9,6.5,5
Denali Borough,"78,395","84,613","84,166",4,7.9,-0.5,28
Dillingham Census Area,"58,180","59,907","61,922",17,3.0,3.4,21
Fairbanks North Star Borough,"54,612","57,720","59,958",19,5.7,3.9,18
Haines Borough,"62,977","71,435","71,711",8,13.4,0.4,27
Hoonah-Angoon Census Area,"59,937","62,178","64,905",14,3.7,4.4,9
Juneau City and Borough,"67,154","71,128","73,335",7,5.9,3.1,22
Kenai Peninsula Borough,"50,150","52,582","54,870",21,4.8,4.4,11
Ketchikan Gateway Borough,"66,150","68,941","70,985",9,4.2,3.0,24
Kodiak Island Borough,"61,147","62,769","66,382",12,2.7,5.8,6
Kusilvak Census Area,"29,870","30,660","31,944",29,2.6,4.2,14
Lake and Peninsula Borough,"61,344","66,991","65,898",13,9.2,-1.6,29
Matanuska-Susitna Borough,"44,684","47,026","48,943",27,5.2,4.1,15
Nome Census Area,"49,700","51,866","54,272",22,4.4,4.6,8
North Slope Borough,"84,892","83,724","89,863",2,-1.4,7.3,4
Northwest Arctic Borough,"44,909","49,447","51,526",24,10.1,4.2,13
Petersburg Borough,"66,506","71,510","74,021",6,7.5,3.5,20
Prince of Wales-Hyder Census Area,"42,263","45,784","49,177",26,8.3,7.4,3
Sitka City and Borough,"68,506","71,315","74,440",5,4.1,4.4,10
Skagway Municipality,"77,243","82,671","86,519",3,7.0,4.7,7
Southeast Fairbanks Census Area,"47,918","50,475","52,458",23,5.3,3.9,17
Valdez-Cordova Census Area,"60,013","61,921","64,202",15,3.2,3.7,19
Wrangell City and Borough,"45,530","48,809","49,549",25,7.2,1.5,26
Yakutat City and Borough,"56,701","60,309","66,967",11,6.4,11.0,1
Yukon-Koyukuk Census Area,"54,980","58,274","60,579",18,6.0,4.0,16
,,,,,,,
Arizona,"42,590","44,597","46,058",--,4.7,3.3,--
Apache,"32,842","34,265","35,189",10,4.3,2.7,12
Cochise,"39,060","39,911","41,766",5,2.2,4.6,3
Coconino,"46,824","48,870","49,189",2,4.4,0.7,15
Gila,"38,777","39,929","41,217",7,3.0,3.2,10
Graham,"30,142","31,195","31,895",15,3.5,2.2,14
Greenlee,"36,846","40,342","42,296",4,9.5,4.8,2
La Paz,"31,230","32,268","34,006",12,3.3,5.4,1
Maricopa,"45,765","48,113","49,704",1,5.1,3.3,8
Mohave,"32,030","33,354","34,393",11,4.1,3.1,11
Navajo,"30,985","32,126","33,268",13,3.7,3.6,7
Pima,"42,245","44,015","45,456",3,4.2,3.3,9
Pinal,"29,910","31,030","32,182",14,3.7,3.7,6
Santa Cruz,"37,116","37,954","39,427",8,2.3,3.9,5
Yavapai,"38,661","40,435","41,393",6,4.6,2.4,13
Yuma,"33,969","35,012","36,570",9,3.1,4.4,4
,,,,,,,
Arkansas,"41,657","43,325","44,629",--,4.0,3.0,--
Arkansas,"44,286","45,471","47,899",3,2.7,5.3,12
Ashley,"34,610","36,040","37,944",24,4.1,5.3,13
Baxter,"35,798","36,582","37,749",25,2.2,3.2,43
Benton,"84,181","92,342","92,697",1,9.7,0.4,66
Boone,"34,130","35,628","36,414",38,4.4,2.2,54
Bradley,"37,412","38,859","39,980",13,3.9,2.9,46
Calhoun,"33,198","34,026","35,686",41,2.5,4.9,14
Carroll,"32,472","33,251","33,021",57,2.4,-0.7,68
Chicot,"36,670","37,601","40,389",12,2.5,7.4,6
Clark,"34,639","35,399","36,832",32,2.2,4.0,21
Clay,"34,434","35,399","36,459",37,2.8,3.0,44
Cleburne,"36,731","37,731","38,942",19,2.7,3.2,41
Cleveland,"38,334","40,595","39,847",15,5.9,-1.8,71
Columbia,"36,803","36,517","37,456",27,-0.8,2.6,50
Conway,"36,880","38,214","38,892",20,3.6,1.8,57
Craighead,"36,472","37,218","38,669",23,2.0,3.9,26
Crawford,"31,899","32,620","33,904",53,2.3,3.9,25
Crittenden,"36,282","37,289","39,041",17,2.8,4.7,16
Cross,"35,743","35,462","38,693",22,-0.8,9.1,3
Dallas,"33,577","34,911","37,101",29,4.0,6.3,11
Desha,"37,550","38,151","40,943",9,1.6,7.3,7
Drew,"35,807","36,305","37,742",26,1.4,4.0,24
Faulkner,"36,406","37,702","38,949",18,3.6,3.3,37
Franklin,"32,342","33,210","33,404",54,2.7,0.6,64
Fulton,"27,018","28,005","29,020",72,3.7,3.6,30
Garland,"38,759","39,578","41,069",7,2.1,3.8,28
Grant,"36,960","37,800","39,087",16,2.3,3.4,33
Greene,"33,499","34,525","35,770",40,3.1,3.6,31
Hempstead,"30,947","32,057","32,238",59,3.6,0.6,65
Hot Spring,"29,844","30,468","31,443",64,2.1,3.2,42
Howard,"35,236","36,320","34,762",47,3.1,-4.3,75
Independence,"34,516","35,059","36,476",36,1.6,4.0,22
Izard,"29,243","30,375","30,923",68,3.9,1.8,56
Jackson,"37,078","37,997","40,703",11,2.5,7.1,8
Jefferson,"34,200","35,034","36,586",34,2.4,4.4,17
Johnson,"28,304","28,736","28,920",73,1.5,0.6,63
Lafayette,"34,787","35,671","36,524",35,2.5,2.4,53
Lawrence,"33,257","33,455","34,400",49,0.6,2.8,48
Lee,"28,826","28,833","32,099",60,0.0,11.3,1
Lincoln,"25,985","27,134","28,024",75,4.4,3.3,38
Little River,"34,061","34,505","35,383",45,1.3,2.5,51
Logan,"33,007","33,810","33,386",55,2.4,-1.3,70
Lonoke,"37,818","39,316","40,749",10,4.0,3.6,29
Madison,"35,479","35,084","34,245",52,-1.1,-2.4,73
Marion,"29,545","30,423","31,405",65,3.0,3.2,40
Miller,"32,687","33,695","35,035",46,3.1,4.0,23
Mississippi,"31,520","33,823","36,882",31,7.3,9.0,4
Monroe,"32,773","33,514","36,710",33,2.3,9.5,2
Montgomery,"28,506","29,366","29,858",70,3.0,1.7,58
Nevada,"32,769","33,601","34,274",51,2.5,2.0,55
Newton,"27,377","28,903","30,096",69,5.6,4.1,20
Ouachita,"35,188","37,197","38,801",21,5.7,4.3,18
Perry,"34,504","35,332","36,248",39,2.4,2.6,49
Phillips,"31,626","32,855","35,438",44,3.9,7.9,5
Pike,"31,895","32,659","32,499",58,2.4,-0.5,67
Poinsett,"32,340","33,314","35,558",42,3.0,6.7,9
Polk,"29,342","30,599","30,984",67,4.3,1.3,60
Pope,"33,811","34,990","35,464",43,3.5,1.4,59
Prairie,"36,266","37,033","37,330",28,2.1,0.8,62
Pulaski,"49,304","50,248","51,927",2,1.9,3.3,36
Randolph,"32,966","33,530","34,352",50,1.7,2.5,52
St. Francis,"27,104","27,844","29,154",71,2.7,4.7,15
Saline,"40,308","41,340","42,688",6,2.6,3.3,39
Scott,"30,378","31,448","31,159",66,3.5,-0.9,69
Searcy,"26,825","27,117","28,143",74,1.1,3.8,27
Sebastian,"40,598","41,416","42,821",5,2.0,3.4,34
Sevier,"31,700","32,860","32,001",61,3.7,-2.6,74
Sharp,"32,742","34,049","34,403",48,4.0,1.0,61
Stone,"29,772","30,712","31,593",63,3.2,2.9,47
Union,"43,413","43,796","45,261",4,0.9,3.3,35
Van Buren,"29,722","30,393","31,697",62,2.3,4.3,19
Washington,"39,145","39,844","41,005",8,1.8,2.9,45
White,"34,548","35,831","37,082",30,3.7,3.5,32
Woodruff,"37,437","37,540","39,902",14,0.3,6.3,10
Yell,"32,735","34,031","33,260",56,4.0,-2.3,72
,,,,,,,
California,"60,549","63,720","66,619",--,5.2,4.5,--
Alameda,"71,947","77,233","81,171",6,7.3,5.1,18
Alpine,"69,500","72,059","72,155",8,3.7,0.1,58
Amador,"43,255","44,282","45,920",42,2.4,3.7,54
Butte,"43,164","44,576","47,860",38,3.3,7.4,3
Calaveras,"47,243","49,227","51,131",31,4.2,3.9,51
Colusa,"44,211","49,962","51,342",30,13.0,2.8,57
Contra Costa,"77,211","81,442","85,324",5,5.5,4.8,26
Del Norte,"35,993","36,855","38,445",57,2.4,4.3,40
El Dorado,"64,657","67,215","69,895",11,4.0,4.0,47
Fresno,"41,905","43,438","45,487",44,3.7,4.7,28
Glenn,"43,587","47,124","49,194",34,8.1,4.4,37
Humboldt,"45,815","47,400","49,654",33,3.5,4.8,27
Imperial,"37,060","37,587","40,447",55,1.4,7.6,2
Inyo,"59,558","58,259","60,513",20,-2.2,3.9,50
Kern,"38,388","39,794","41,843",52,3.7,5.1,15
Kings,"36,494","36,961","39,433",56,1.3,6.7,4
Lake,"40,911","42,632","44,259",45,4.2,3.8,52
Lassen,"35,959","37,010","38,130",58,2.9,3.0,56
Los Angeles,"59,625","62,300","65,094",15,4.5,4.5,36
Madera,"37,967","39,094","41,267",53,3.0,5.6,8
Marin,"125,607","136,066","141,735",1,8.3,4.2,43
Mariposa,"50,945","53,398","56,354",22,4.8,5.5,10
Mendocino,"47,840","50,478","52,976",29,5.5,4.9,21
Merced,"38,329","39,018","41,077",54,1.8,5.3,13
Modoc,"45,825","47,262","51,088",32,3.1,8.1,1
Mono,"51,015","50,437","53,500",28,-1.1,6.1,6
Monterey,"54,691","56,634","59,838",21,3.6,5.7,7
Napa,"70,649","72,043","75,717",7,2.0,5.1,17
Nevada,"59,122","61,125","63,542",18,3.4,4.0,49
Orange,"66,044","68,917","71,711",9,4.4,4.1,46
Placer,"64,382","66,506","68,936",12,3.3,3.7,55
Plumas,"51,123","53,490","55,910",24,4.6,4.5,33
Riverside,"39,148","40,587","42,418",50,3.7,4.5,34
Sacramento,"50,717","53,023","55,266",25,4.5,4.2,41
San Benito,"50,508","52,637","55,261",26,4.2,5.0,19
San Bernardino,"38,774","40,150","42,043",51,3.5,4.7,29
San Diego,"58,380","61,147","63,729",17,4.7,4.2,42
San Francisco,"122,711","133,325","139,405",2,8.6,4.6,31
San Joaquin,"42,917","44,697","47,139",41,4.1,5.5,11
San Luis Obispo,"55,580","58,108","61,004",19,4.5,5.0,20
San Mateo,"118,047","128,230","134,107",3,8.6,4.6,30
Santa Barbara,"59,894","63,314","66,076",14,5.7,4.4,38
Santa Clara,"100,691","110,344","115,997",4,9.6,5.1,16
Santa Cruz,"64,731","68,277","71,592",10,5.5,4.9,23
Shasta,"44,808","46,589","48,438",36,4.0,4.0,48
Sierra,"43,664","45,400","47,245",40,4.0,4.1,45
Siskiyou,"44,615","46,128","48,021",37,3.4,4.1,44
Solano,"48,593","50,756","53,505",27,4.5,5.4,12
Sonoma,"60,027","63,397","66,700",13,5.6,5.2,14
Stanislaus,"42,592","43,631","45,742",43,2.4,4.8,24
Sutter,"43,215","45,376","47,605",39,5.0,4.9,22
Tehama,"40,165","41,469","43,268",48,3.2,4.3,39
